Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2026-01-01,2026,뉴스광장 2부 (KBS),6.4,8.59,8.6,-2.19,평균 이하,-1.12,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-02,2026,뉴스광장 2부 (KBS),6.0,8.59,8.6,-2.59,평균 이하,-1.32,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-05,2026,뉴스광장 2부 (KBS),3.9,8.59,8.6,-4.69,평균 이하,-2.39,이상치(급감),,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-06,2026,뉴스광장 2부 (KBS),5.1,8.59,8.6,-3.49,평균 이하,-1.78,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-07,2026,뉴스광장 2부 (KBS),4.9,8.59,8.6,-3.69,평균 이하,-1.88,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-08,2026,뉴스광장 2부 (KBS),4.9,8.59,8.6,-3.69,평균 이하,-1.88,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-09,2026,뉴스광장 2부 (KBS),6.6,8.59,8.6,-1.99,평균 이하,-1.01,정상 범위,,,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-12,2026,뉴스광장 2부 (KBS),7.7,8.59,8.6,-0.89,평균 이하,-0.45,정상 범위,6.4,1.3,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-13,2026,뉴스광장 2부 (KBS),10.5,8.59,8.6,1.91,평균 이상,0.97,정상 범위,6.0,4.5,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-14,2026,뉴스광장 2부 (KBS),9.9,8.59,8.6,1.31,평균 이상,0.67,정상 범위,3.9,6.0,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-15,2026,뉴스광장 2부 (KBS),8.8,8.59,8.6,0.21,평균 이상,0.11,정상 범위,5.1,3.7,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-16,2026,뉴스광장 2부 (KBS),6.0,8.59,8.6,-2.59,평균 이하,-1.32,정상 범위,4.9,1.1,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-19,2026,뉴스광장 2부 (KBS),10.5,8.59,8.6,1.91,평균 이상,0.97,정상 범위,4.9,5.6,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-21,2026,뉴스광장 2부 (KBS),4.3,8.59,8.6,-4.29,평균 이하,-2.19,이상치(급감),6.6,-2.3,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-22,2026,뉴스광장 2부 (KBS),5.9,8.59,8.6,-2.69,평균 이하,-1.37,정상 범위,7.7,-1.8,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-23,2026,뉴스광장 2부 (KBS),10.6,8.59,8.6,2.01,평균 이상,1.03,정상 범위,10.5,0.1,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-27,2026,뉴스광장 2부 (KBS),6.9,8.59,8.6,-1.69,평균 이하,-0.86,정상 범위,9.9,-3.0,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-28,2026,뉴스광장 2부 (KBS),7.9,8.59,8.6,-0.69,평균 이하,-0.35,정상 범위,8.8,-0.9,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
2026-01-29,2026,뉴스광장 2부 (KBS),8.8,8.59,8.6,0.21,평균 이상,0.11,정상 범위,6.0,2.8,1.96,22.83,0.02,7.3,10.0,2.7,3.9,13.7,162.0
