Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-04-01,2025,뉴스데스크 (MBC),7.4,9.32,9.1,-1.92,평균 이하,-0.67,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-02,2025,뉴스데스크 (MBC),6.3,9.32,9.1,-3.02,평균 이하,-1.05,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-03,2025,뉴스데스크 (MBC),7.9,9.32,9.1,-1.42,평균 이하,-0.49,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-04,2025,뉴스데스크 (MBC),18.5,9.32,9.1,9.18,평균 이상,3.19,이상치(급증),,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-05,2025,뉴스데스크 (MBC),11.9,9.32,9.1,2.58,평균 이상,0.9,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-06,2025,뉴스데스크 (MBC),6.7,9.32,9.1,-2.62,평균 이하,-0.91,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-07,2025,뉴스데스크 (MBC),9.1,9.32,9.1,-0.22,평균 이하,-0.08,정상 범위,,,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-08,2025,뉴스데스크 (MBC),5.1,9.32,9.1,-4.22,평균 이하,-1.47,정상 범위,7.4,-2.3,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-09,2025,뉴스데스크 (MBC),8.4,9.32,9.1,-0.92,평균 이하,-0.32,정상 범위,6.3,2.1,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-10,2025,뉴스데스크 (MBC),9.0,9.32,9.1,-0.32,평균 이하,-0.11,정상 범위,7.9,1.1,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-11,2025,뉴스데스크 (MBC),7.2,9.32,9.1,-2.12,평균 이하,-0.74,정상 범위,18.5,-11.3,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-12,2025,뉴스데스크 (MBC),8.1,9.32,9.1,-1.22,평균 이하,-0.42,정상 범위,11.9,-3.8,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-13,2025,뉴스데스크 (MBC),13.3,9.32,9.1,3.98,평균 이상,1.38,정상 범위,6.7,6.6,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-14,2025,뉴스데스크 (MBC),8.2,9.32,9.1,-1.12,평균 이하,-0.39,정상 범위,9.1,-0.9,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-15,2025,뉴스데스크 (MBC),5.3,9.32,9.1,-4.02,평균 이하,-1.4,정상 범위,5.1,0.2,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-16,2025,뉴스데스크 (MBC),5.4,9.32,9.1,-3.92,평균 이하,-1.36,정상 범위,8.4,-3.0,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-17,2025,뉴스데스크 (MBC),6.9,9.32,9.1,-2.42,평균 이하,-0.84,정상 범위,9.0,-2.1,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-18,2025,뉴스데스크 (MBC),6.9,9.32,9.1,-2.42,평균 이하,-0.84,정상 범위,7.2,-0.3,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-19,2025,뉴스데스크 (MBC),9.3,9.32,9.1,-0.02,평균 이하,-0.01,정상 범위,8.1,1.2,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-20,2025,뉴스데스크 (MBC),7.9,9.32,9.1,-1.42,평균 이하,-0.49,정상 범위,13.3,-5.4,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-21,2025,뉴스데스크 (MBC),9.9,9.32,9.1,0.58,평균 이상,0.2,정상 범위,8.2,1.7,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-22,2025,뉴스데스크 (MBC),11.0,9.32,9.1,1.68,평균 이상,0.58,정상 범위,5.3,5.7,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-23,2025,뉴스데스크 (MBC),12.9,9.32,9.1,3.58,평균 이상,1.25,정상 범위,5.4,7.5,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-24,2025,뉴스데스크 (MBC),7.5,9.32,9.1,-1.82,평균 이하,-0.63,정상 범위,6.9,0.6,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-25,2025,뉴스데스크 (MBC),13.0,9.32,9.1,3.68,평균 이상,1.28,정상 범위,6.9,6.1,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-26,2025,뉴스데스크 (MBC),13.1,9.32,9.1,3.78,평균 이상,1.31,정상 범위,9.3,3.8,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
2025-04-27,2025,뉴스데스크 (MBC),7.8,9.32,9.1,-1.52,평균 이하,-0.53,정상 범위,7.9,-0.1,2.88,30.89,0.1,7.32,11.2,3.87,0.8,18.5,274.0
