Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2026-01-01,2026,JIBS 8뉴스 (JIBS),2.8,2.82,2.65,-0.02,평균 이하,-0.01,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-02,2026,JIBS 8뉴스 (JIBS),3.3,2.82,2.65,0.48,평균 이상,0.3,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-03,2026,JIBS 8뉴스 (JIBS),2.6,2.82,2.65,-0.22,평균 이하,-0.14,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-04,2026,JIBS 8뉴스 (JIBS),3.1,2.82,2.65,0.28,평균 이상,0.17,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-05,2026,JIBS 8뉴스 (JIBS),3.0,2.82,2.65,0.18,평균 이상,0.11,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-06,2026,JIBS 8뉴스 (JIBS),2.4,2.82,2.65,-0.42,평균 이하,-0.26,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-07,2026,JIBS 8뉴스 (JIBS),1.5,2.82,2.65,-1.32,평균 이하,-0.83,정상 범위,,,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-08,2026,JIBS 8뉴스 (JIBS),2.5,2.82,2.65,-0.32,평균 이하,-0.2,정상 범위,2.8,-0.3,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-09,2026,JIBS 8뉴스 (JIBS),3.2,2.82,2.65,0.38,평균 이상,0.24,정상 범위,3.3,-0.1,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-10,2026,JIBS 8뉴스 (JIBS),0.8,2.82,2.65,-2.02,평균 이하,-1.26,정상 범위,2.6,-1.8,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-11,2026,JIBS 8뉴스 (JIBS),4.5,2.82,2.65,1.68,평균 이상,1.05,정상 범위,3.1,1.4,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-12,2026,JIBS 8뉴스 (JIBS),2.5,2.82,2.65,-0.32,평균 이하,-0.2,정상 범위,3.0,-0.5,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-13,2026,JIBS 8뉴스 (JIBS),2.8,2.82,2.65,-0.02,평균 이하,-0.01,정상 범위,2.4,0.4,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-14,2026,JIBS 8뉴스 (JIBS),2.3,2.82,2.65,-0.52,평균 이하,-0.33,정상 범위,1.5,0.8,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-15,2026,JIBS 8뉴스 (JIBS),5.7,2.82,2.65,2.88,평균 이상,1.8,정상 범위,2.5,3.2,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-16,2026,JIBS 8뉴스 (JIBS),6.3,2.82,2.65,3.48,평균 이상,2.17,이상치(급증),3.2,3.1,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-17,2026,JIBS 8뉴스 (JIBS),1.5,2.82,2.65,-1.32,평균 이하,-0.83,정상 범위,0.8,0.7,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-18,2026,JIBS 8뉴스 (JIBS),3.0,2.82,2.65,0.18,평균 이상,0.11,정상 범위,4.5,-1.5,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-19,2026,JIBS 8뉴스 (JIBS),3.4,2.82,2.65,0.58,평균 이상,0.36,정상 범위,2.5,0.9,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-21,2026,JIBS 8뉴스 (JIBS),0.8,2.82,2.65,-2.02,평균 이하,-1.26,정상 범위,2.8,-2.0,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-22,2026,JIBS 8뉴스 (JIBS),6.5,2.82,2.65,3.68,평균 이상,2.3,이상치(급증),2.3,4.2,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-23,2026,JIBS 8뉴스 (JIBS),0.6,2.82,2.65,-2.22,평균 이하,-1.39,정상 범위,5.7,-5.1,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-24,2026,JIBS 8뉴스 (JIBS),0.5,2.82,2.65,-2.32,평균 이하,-1.45,정상 범위,6.3,-5.8,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-25,2026,JIBS 8뉴스 (JIBS),2.2,2.82,2.65,-0.62,평균 이하,-0.39,정상 범위,1.5,0.7,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-27,2026,JIBS 8뉴스 (JIBS),0.2,2.82,2.65,-2.62,평균 이하,-1.64,정상 범위,3.0,-2.8,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-28,2026,JIBS 8뉴스 (JIBS),0.4,2.82,2.65,-2.42,평균 이하,-1.52,정상 범위,3.4,-3.0,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-29,2026,JIBS 8뉴스 (JIBS),3.7,2.82,2.65,0.88,평균 이상,0.55,정상 범위,0.8,2.9,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-30,2026,JIBS 8뉴스 (JIBS),1.2,2.82,2.65,-1.62,평균 이하,-1.01,정상 범위,6.5,-5.3,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-01-31,2026,JIBS 8뉴스 (JIBS),2.0,2.82,2.65,-0.82,평균 이하,-0.51,정상 범위,0.6,1.4,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-02-01,2026,JIBS 8뉴스 (JIBS),0.5,2.82,2.65,-2.32,평균 이하,-1.45,정상 범위,0.5,0.0,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-02-02,2026,JIBS 8뉴스 (JIBS),3.3,2.82,2.65,0.48,평균 이상,0.3,정상 범위,2.2,1.1,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
2026-02-03,2026,JIBS 8뉴스 (JIBS),7.2,2.82,2.65,4.38,평균 이상,2.74,이상치(급증),0.2,7.0,1.6,56.65,0.99,1.7,3.58,1.88,0.1,8.6,218.0
