Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-05-13,2025,모닝와이드 3부 (JIBS),2.1,1.77,1.65,0.33,평균 이상,0.35,정상 범위,1.2,0.9,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-14,2025,모닝와이드 3부 (JIBS),0.8,1.77,1.65,-0.97,평균 이하,-1.02,정상 범위,2.0,-1.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-15,2025,모닝와이드 3부 (JIBS),0.7,1.77,1.65,-1.07,평균 이하,-1.12,정상 범위,3.0,-2.3,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-16,2025,모닝와이드 3부 (JIBS),0.5,1.77,1.65,-1.27,평균 이하,-1.33,정상 범위,5.2,-4.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-19,2025,모닝와이드 3부 (JIBS),2.5,1.77,1.65,0.73,평균 이상,0.77,정상 범위,1.8,0.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-20,2025,모닝와이드 3부 (JIBS),1.9,1.77,1.65,0.13,평균 이상,0.14,정상 범위,4.1,-2.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-21,2025,모닝와이드 3부 (JIBS),2.2,1.77,1.65,0.43,평균 이상,0.45,정상 범위,2.2,0.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-22,2025,모닝와이드 3부 (JIBS),1.0,1.77,1.65,-0.77,평균 이하,-0.81,정상 범위,2.1,-1.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-23,2025,모닝와이드 3부 (JIBS),0.7,1.77,1.65,-1.07,평균 이하,-1.12,정상 범위,0.8,-0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-26,2025,모닝와이드 3부 (JIBS),2.3,1.77,1.65,0.53,평균 이상,0.56,정상 범위,0.7,1.6,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-27,2025,모닝와이드 3부 (JIBS),2.4,1.77,1.65,0.63,평균 이상,0.66,정상 범위,0.5,1.9,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-28,2025,모닝와이드 3부 (JIBS),0.1,1.77,1.65,-1.67,평균 이하,-1.75,정상 범위,2.5,-2.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-29,2025,모닝와이드 3부 (JIBS),2.9,1.77,1.65,1.13,평균 이상,1.18,정상 범위,1.9,1.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-05-30,2025,모닝와이드 3부 (JIBS),1.7,1.77,1.65,-0.07,평균 이하,-0.07,정상 범위,2.2,-0.5,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-02,2025,모닝와이드 3부 (JIBS),3.3,1.77,1.65,1.53,평균 이상,1.6,정상 범위,1.0,2.3,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-03,2025,모닝와이드 3부 (JIBS),2.1,1.77,1.65,0.33,평균 이상,0.35,정상 범위,0.7,1.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-04,2025,모닝와이드 3부 (JIBS),0.6,1.77,1.65,-1.17,평균 이하,-1.23,정상 범위,2.3,-1.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-05,2025,모닝와이드 3부 (JIBS),2.3,1.77,1.65,0.53,평균 이상,0.56,정상 범위,2.4,-0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-06,2025,모닝와이드 3부 (JIBS),1.2,1.77,1.65,-0.57,평균 이하,-0.6,정상 범위,0.1,1.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-09,2025,모닝와이드 3부 (JIBS),2.1,1.77,1.65,0.33,평균 이상,0.35,정상 범위,2.9,-0.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-10,2025,모닝와이드 3부 (JIBS),2.5,1.77,1.65,0.73,평균 이상,0.77,정상 범위,1.7,0.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-11,2025,모닝와이드 3부 (JIBS),0.6,1.77,1.65,-1.17,평균 이하,-1.23,정상 범위,3.3,-2.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-12,2025,모닝와이드 3부 (JIBS),2.6,1.77,1.65,0.83,평균 이상,0.87,정상 범위,2.1,0.5,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-13,2025,모닝와이드 3부 (JIBS),2.5,1.77,1.65,0.73,평균 이상,0.77,정상 범위,0.6,1.9,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-16,2025,모닝와이드 3부 (JIBS),2.9,1.77,1.65,1.13,평균 이상,1.18,정상 범위,2.3,0.6,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-17,2025,모닝와이드 3부 (JIBS),1.2,1.77,1.65,-0.57,평균 이하,-0.6,정상 범위,1.2,0.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-18,2025,모닝와이드 3부 (JIBS),0.3,1.77,1.65,-1.47,평균 이하,-1.54,정상 범위,2.1,-1.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-19,2025,모닝와이드 3부 (JIBS),0.3,1.77,1.65,-1.47,평균 이하,-1.54,정상 범위,2.5,-2.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-20,2025,모닝와이드 3부 (JIBS),2.0,1.77,1.65,0.23,평균 이상,0.24,정상 범위,0.6,1.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-23,2025,모닝와이드 3부 (JIBS),2.3,1.77,1.65,0.53,평균 이상,0.56,정상 범위,2.6,-0.3,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-24,2025,모닝와이드 3부 (JIBS),1.0,1.77,1.65,-0.77,평균 이하,-0.81,정상 범위,2.5,-1.5,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-25,2025,모닝와이드 3부 (JIBS),0.9,1.77,1.65,-0.87,평균 이하,-0.91,정상 범위,2.9,-2.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-26,2025,모닝와이드 3부 (JIBS),1.3,1.77,1.65,-0.47,평균 이하,-0.49,정상 범위,1.2,0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-27,2025,모닝와이드 3부 (JIBS),1.8,1.77,1.65,0.03,평균 이상,0.03,정상 범위,0.3,1.5,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-06-30,2025,모닝와이드 3부 (JIBS),1.1,1.77,1.65,-0.67,평균 이하,-0.7,정상 범위,0.3,0.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-01,2025,모닝와이드 3부 (JIBS),0.3,1.77,1.65,-1.47,평균 이하,-1.54,정상 범위,2.0,-1.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-02,2025,모닝와이드 3부 (JIBS),1.3,1.77,1.65,-0.47,평균 이하,-0.49,정상 범위,2.3,-1.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-03,2025,모닝와이드 3부 (JIBS),0.6,1.77,1.65,-1.17,평균 이하,-1.23,정상 범위,1.0,-0.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-04,2025,모닝와이드 3부 (JIBS),1.0,1.77,1.65,-0.77,평균 이하,-0.81,정상 범위,0.9,0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-07,2025,모닝와이드 3부 (JIBS),1.3,1.77,1.65,-0.47,평균 이하,-0.49,정상 범위,1.3,0.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-08,2025,모닝와이드 3부 (JIBS),2.6,1.77,1.65,0.83,평균 이상,0.87,정상 범위,1.8,0.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-09,2025,모닝와이드 3부 (JIBS),1.7,1.77,1.65,-0.07,평균 이하,-0.07,정상 범위,1.1,0.6,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-10,2025,모닝와이드 3부 (JIBS),1.5,1.77,1.65,-0.27,평균 이하,-0.28,정상 범위,0.3,1.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-11,2025,모닝와이드 3부 (JIBS),1.4,1.77,1.65,-0.37,평균 이하,-0.39,정상 범위,1.3,0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-14,2025,모닝와이드 3부 (JIBS),0.8,1.77,1.65,-0.97,평균 이하,-1.02,정상 범위,0.6,0.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-15,2025,모닝와이드 3부 (JIBS),0.6,1.77,1.65,-1.17,평균 이하,-1.23,정상 범위,1.0,-0.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-16,2025,모닝와이드 3부 (JIBS),2.8,1.77,1.65,1.03,평균 이상,1.08,정상 범위,1.3,1.5,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-17,2025,모닝와이드 3부 (JIBS),1.9,1.77,1.65,0.13,평균 이상,0.14,정상 범위,2.6,-0.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-18,2025,모닝와이드 3부 (JIBS),2.9,1.77,1.65,1.13,평균 이상,1.18,정상 범위,1.7,1.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-21,2025,모닝와이드 3부 (JIBS),0.5,1.77,1.65,-1.27,평균 이하,-1.33,정상 범위,1.5,-1.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-22,2025,모닝와이드 3부 (JIBS),1.1,1.77,1.65,-0.67,평균 이하,-0.7,정상 범위,1.4,-0.3,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-23,2025,모닝와이드 3부 (JIBS),1.7,1.77,1.65,-0.07,평균 이하,-0.07,정상 범위,0.8,0.9,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-24,2025,모닝와이드 3부 (JIBS),2.7,1.77,1.65,0.93,평균 이상,0.98,정상 범위,0.6,2.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-25,2025,모닝와이드 3부 (JIBS),2.1,1.77,1.65,0.33,평균 이상,0.35,정상 범위,2.8,-0.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-28,2025,모닝와이드 3부 (JIBS),2.0,1.77,1.65,0.23,평균 이상,0.24,정상 범위,1.9,0.1,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-29,2025,모닝와이드 3부 (JIBS),2.1,1.77,1.65,0.33,평균 이상,0.35,정상 범위,2.9,-0.8,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-30,2025,모닝와이드 3부 (JIBS),1.9,1.77,1.65,0.13,평균 이상,0.14,정상 범위,0.5,1.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-07-31,2025,모닝와이드 3부 (JIBS),1.5,1.77,1.65,-0.27,평균 이하,-0.28,정상 범위,1.1,0.4,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-08-01,2025,모닝와이드 3부 (JIBS),2.7,1.77,1.65,0.93,평균 이상,0.98,정상 범위,1.7,1.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
