Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2026-01-01,2026,뉴스투데이 제주 (MBC),4.4,4.03,3.7,0.37,평균 이상,0.23,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-02,2026,뉴스투데이 제주 (MBC),3.8,4.03,3.7,-0.23,평균 이하,-0.14,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-05,2026,뉴스투데이 제주 (MBC),2.4,4.03,3.7,-1.63,평균 이하,-0.99,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-06,2026,뉴스투데이 제주 (MBC),4.5,4.03,3.7,0.47,평균 이상,0.29,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-07,2026,뉴스투데이 제주 (MBC),4.8,4.03,3.7,0.77,평균 이상,0.47,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-08,2026,뉴스투데이 제주 (MBC),2.6,4.03,3.7,-1.43,평균 이하,-0.87,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-09,2026,뉴스투데이 제주 (MBC),4.0,4.03,3.7,-0.03,평균 이하,-0.02,정상 범위,,,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-12,2026,뉴스투데이 제주 (MBC),2.5,4.03,3.7,-1.53,평균 이하,-0.93,정상 범위,4.4,-1.9,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-13,2026,뉴스투데이 제주 (MBC),2.9,4.03,3.7,-1.13,평균 이하,-0.68,정상 범위,3.8,-0.9,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-14,2026,뉴스투데이 제주 (MBC),4.3,4.03,3.7,0.27,평균 이상,0.17,정상 범위,2.4,1.9,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-15,2026,뉴스투데이 제주 (MBC),2.9,4.03,3.7,-1.13,평균 이하,-0.68,정상 범위,4.5,-1.6,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-16,2026,뉴스투데이 제주 (MBC),2.6,4.03,3.7,-1.43,평균 이하,-0.87,정상 범위,4.8,-2.2,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-19,2026,뉴스투데이 제주 (MBC),2.9,4.03,3.7,-1.13,평균 이하,-0.68,정상 범위,2.6,0.3,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-21,2026,뉴스투데이 제주 (MBC),3.5,4.03,3.7,-0.53,평균 이하,-0.32,정상 범위,4.0,-0.5,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-22,2026,뉴스투데이 제주 (MBC),5.4,4.03,3.7,1.37,평균 이상,0.83,정상 범위,2.5,2.9,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-23,2026,뉴스투데이 제주 (MBC),5.1,4.03,3.7,1.07,평균 이상,0.65,정상 범위,2.9,2.2,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-27,2026,뉴스투데이 제주 (MBC),1.2,4.03,3.7,-2.83,평균 이하,-1.71,정상 범위,4.3,-3.1,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-28,2026,뉴스투데이 제주 (MBC),3.5,4.03,3.7,-0.53,평균 이하,-0.32,정상 범위,2.9,0.6,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-29,2026,뉴스투데이 제주 (MBC),2.4,4.03,3.7,-1.63,평균 이하,-0.99,정상 범위,2.6,-0.2,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-01-30,2026,뉴스투데이 제주 (MBC),2.8,4.03,3.7,-1.23,평균 이하,-0.74,정상 범위,2.9,-0.1,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
2026-02-02,2026,뉴스투데이 제주 (MBC),4.9,4.03,3.7,0.87,평균 이상,0.53,정상 범위,3.5,1.4,1.65,40.95,0.57,2.7,5.2,2.5,0.6,9.5,163.0
